card_name,desc,shortUrl,card_creation_dt,list_name,MemberCreator_id,card_done_dt,member_fullName,member_username,board_name,Backlog,Done,En Validación (PO / Usuario),Pre - Análisis,Product Backlog,Sprint Backlog (En Proceso),folio
ID 5qAavW53 PR - Disponibilidad Datos para Modeló de Riesgos de Liquidez,"Existe un esfuerzo desarrollado por Jesús Saucedo, donde se disponibilizan los datos afore para que el área de riesgos trabaje sobre el modelo de riesgos de liquidez. 
Es necesario migrar dicho esfuerzo desde QV hacia tableau. ",https://trello.com/c/5qAavW53,2022-08-02 15:44:17,Done,5e55cb850da7ad51f549435d,2022-10-05 08:01:46,Luz Marisol Olivas Arredondo,lolivasa,GCIA Afore,,40.233263888888885,42.972557870370366,,49.23549768518519,33.967025462962965,5qAavW53
ID d5JiaOFW - Base de Clientes - MKT Ahorro Voluntario,"Crear dos bases para identificar a los Trabajadores afiliados que han realizado ahorro voluntario y a los que no.
",https://trello.com/c/d5JiaOFW,2022-10-07 18:02:26,Done,5ec85c5984684e4451ed052d,2022-10-13 09:32:14,Mario Alberto Bastidas López,marioalbertobastidaslopez,GCIA Afore,4.774050925925926,95.4280902777778,0.6552662037037037,0.1196412037037037,0.07619212962962964,0.02054398148148148,d5JiaOFW
xNdqTv3o Corte de Servicios Implementación Flag Estatus,"Agrupar todos los estatus del layout de servicios en tres categorías:
rechazado = 0, liquidado= 1, no concluido en módulo = 2

Campos:
FLAG_ESTATUS
FLAG_ESTATUS_DESC",https://trello.com/c/xNdqTv3o,2022-10-19 09:06:06,Done,62f1384d4cc49923c5a20411,2022-10-21 17:32:39,israel roman niño,israelromannino,GCIA Afore,,87.09447916666666,0.3670949074074074,,0.00015046296296296297,1.984525462962963,xNdqTv3o
Petición 35815.1 - % de Recuperado,,https://trello.com/c/KBn4Qnn5,2022-08-04 08:46:37,Done,5b880cd96ac83422a360580c,2022-10-05 08:01:00,Alan,alan09487517,"GCIA Originación, Crédito al Consumo, Cobranzas",0.00019675925925925926,103.49135416666667,35.96225694444444,18.138194444444444,3.868738425925926,3.9989351851851853,KBn4Qnn5
Petición 36354.1 - Abonos por puntualidad de Cliente,"reporte de abonos realizados por los Supervisores de Cobranza Domiciliaria clasificados por tipo de puntualidad de los Clientes Coppel.

Descripción de la petición
La necesidad es contar con un reporte de abonos realizados por los Supervisores de Cobranza Domiciliaria clasificados por tipo de puntualidad de los Clientes Coppel. Los datos que se mostrarán son reales y a la fecha seleccionada al momento de consultar la información. La petición abarca un dashboard donde se mostrará los resultados generales y un reporte donde se mostrarán los resultados a detalle. La petición abarca para todos los niveles de operaciones cobranza: • Zona. • Región. • División. • Director.",https://trello.com/c/X2Wlx1YS,2022-08-05 09:23:02,Done,5b880cd96ac83422a360580c,2022-10-05 08:01:00,Alan,alan09487517,"GCIA Originación, Crédito al Consumo, Cobranzas",0.002476851851851852,103.49135416666667,15.954479166666667,25.472349537037037,12.805520833333334,6.708159722222223,X2Wlx1YS
Construir indicadores con información del DWH para el Tablero de Servicios Financieros: Cartera de Crédito Grupo Coppel,Construcción de indicadores del Tablero de Servicios Financieros con información del DWH: Cartera de Crédito Grupo Coppel,https://trello.com/c/bWeQNFra,2022-08-08 09:51:23,Done,6215385da0392b293ab543d6,2022-10-05 08:00:59,Rosario García Félix,rosariogarciafelix,"GCIA Originación, Crédito al Consumo, Cobranzas",6.504340277777778,103.49136574074076,28.891053240740742,0.4945949074074074,2.9542939814814813,19.079050925925923,bWeQNFra
36680.1 Obtener Layout de la prueba actualización de datos generales ( Círculo de Crédito),,https://trello.com/c/d0unGUqn,2022-08-10 17:00:00,Done,61fdc0c24a0dde7a8bd6fa0d,2022-10-05 08:00:59,Tomás Arroyo Parra,tomasarroyoparra1,"GCIA Originación, Crédito al Consumo, Cobranzas",4.157268518518518,103.49136574074076,46.87217592592592,0.5416087962962962,1.9583796296296294,2.09625,d0unGUqn
36704.1 Petición para obtener layout Apoyo Cozumel 2022,,https://trello.com/c/zWfNjaYB,2022-08-10 17:05:33,Done,61fdc0c24a0dde7a8bd6fa0d,2022-10-05 08:00:58,Tomás Arroyo Parra,tomasarroyoparra1,"GCIA Originación, Crédito al Consumo, Cobranzas",4.1552546296296295,103.49137731481483,49.66601851851852,0.5415972222222222,0.9377430555555555,0.3212037037037037,zWfNjaYB
Resumen División  de creditos entregados por sucursal histórico,,https://trello.com/c/nEWXRcQf,2022-08-12 08:20:48,Done,60ca7e0b9604e44c7f6616d3,2022-10-05 08:00:58,German Castro,germancastro33,"GCIA Originación, Crédito al Consumo, Cobranzas",,103.49137731481483,53.98622685185185,,,,nEWXRcQf
Resumen Region Banco de creditos entregados por sucursal historico,,https://trello.com/c/m42qxOnB,2022-08-12 08:21:29,Done,60ca7e0b9604e44c7f6616d3,2022-10-05 08:00:58,German Castro,germancastro33,"GCIA Originación, Crédito al Consumo, Cobranzas",,103.49137731481483,53.98575231481482,,,,m42qxOnB
